path,absolutePath,bytes,files,directBytes,directFiles,directories,readErrors,skippedReparsePoints,status,condition,trackedFiles,parentRow,external
.deps/YYGC/tools/NetworkValidation~/VitalRouterFix/bin,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\YYGC\tools\NetworkValidation~\VitalRouterFix\bin,86845,3,0,0,2,0,0,dependency_intermediate,依赖自带工具／生成器产物；先核对源文件、输出 DLL 依赖和本地修改，不自动清理,0,.deps/YYGC,False
.deps/YYGC/tools/NetworkValidation~/VitalRouterFix/obj,D:\Developer\MiniGames\Dark Nights\unity-projects\.deps\YYGC\tools\NetworkValidation~\VitalRouterFix\obj,107506,15,16979,5,2,0,0,dependency_intermediate,依赖自带工具／生成器产物；先核对源文件、输出 DLL 依赖和本地修改，不自动清理,0,.deps/YYGC,False
.git,D:\Developer\MiniGames\Dark Nights\unity-projects\.git,17340010,5414,502082,7,279,0,0,retain_source,Git 对象／工作树登记属于恢复来源；不作为普通缓存清理,0,.,False
.git/logs,D:\Developer\MiniGames\Dark Nights\unity-projects\.git\logs,24627,8,11477,1,6,0,0,retain_source,Git 对象／工作树登记属于恢复来源；不作为普通缓存清理,0,.git,False
.git/worktrees/source,D:\Developer\MiniGames\Dark Nights\unity-projects\.git\worktrees\source,501411,7,500153,6,2,0,0,retain_source,Git 对象／工作树登记属于恢复来源；不作为普通缓存清理,0,.git,False
.git/worktrees/source/logs,D:\Developer\MiniGames\Dark Nights\unity-projects\.git\worktrees\source\logs,1258,1,1258,1,0,0,0,retain_source,Git 对象／工作树登记属于恢复来源；不作为普通缓存清理,0,.git/worktrees/source,False
artifacts,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts,10457750313,87524,405139,12,6885,0,0,contains_denied,含已拒绝子项，不能整体删除；非受限子项另按条件列账,0,.,False
artifacts/art-staging,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\art-staging,2376600,553,153800,1,78,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts,False
artifacts/aseprite-pixel-crew,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\aseprite-pixel-crew,1231327,168,9282,7,12,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts,False
artifacts/blender-pixel-crew,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\blender-pixel-crew,9803271,3188,73012,9,704,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts,False
artifacts/c-refactor,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\c-refactor,2119501,41,2119501,41,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts,False
artifacts/command-generator-output,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\command-generator-output,0,0,0,0,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts,False
artifacts/effect-staging,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\effect-staging,86561,1,86561,1,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts,False
artifacts/godot-rng-probe,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\godot-rng-probe,66696,3,66696,3,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts,False
artifacts/lan-sample,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\lan-sample,2026790569,5275,255363145,22,78,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts,False
artifacts/lan-sample/player,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\lan-sample\player,195394895,409,89541552,7,25,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/lan-sample,False
artifacts/lan-sample/player-il2cpp,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\lan-sample\player-il2cpp,1222156809,722,85430624,8,16,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/lan-sample,False
artifacts/lan-sample/player-il2cpp/DNights_BurstDebugInformation_DoNotShip,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\lan-sample\player-il2cpp\DNights_BurstDebugInformation_DoNotShip,211062,1,0,0,3,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/lan-sample/player-il2cpp,False
artifacts/lan-sample/player-il2cpp/LanCoop_BackUpThisFolder_ButDontShipItWithYourGame,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\lan-sample\player-il2cpp\LanCoop_BackUpThisFolder_ButDontShipItWithYourGame,1108620596,690,457232384,1,3,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/lan-sample/player-il2cpp,False
artifacts/lan-sample/player/DNights_BurstDebugInformation_DoNotShip,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\lan-sample\player\DNights_BurstDebugInformation_DoNotShip,245248,1,0,0,3,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/lan-sample/player,False
artifacts/legacy-command-generator-output,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\legacy-command-generator-output,437,1,437,1,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts,False
artifacts/m5-results,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-results,216945595,436,17939322,28,26,0,0,contains_denied,含已拒绝子项，不能整体删除；非受限子项另按条件列账,0,artifacts,False
artifacts/m5-results/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-results\player-mono,199006273,408,89541552,7,25,0,0,contains_denied,含已拒绝子项，不能整体删除；非受限子项另按条件列账,0,artifacts/m5-results,False
artifacts/m5-results/player-mono/DNights_BurstDebugInformation_DoNotShip,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-results\player-mono\DNights_BurstDebugInformation_DoNotShip,245875,1,0,0,3,0,0,policy_denied,自动审批已拒绝；不重试、不经父目录或其他工具绕过,0,artifacts/m5-results/player-mono,False
artifacts/m5-ui,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-ui,375442779,544,176436519,136,26,0,0,contains_denied,含已拒绝子项，不能整体删除；非受限子项另按条件列账,0,artifacts,False
artifacts/m5-ui/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-ui\player-mono,199006260,408,89541552,7,25,0,0,contains_denied,含已拒绝子项，不能整体删除；非受限子项另按条件列账,0,artifacts/m5-ui,False
artifacts/m5-ui/player-mono/DNights_BurstDebugInformation_DoNotShip,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-ui\player-mono\DNights_BurstDebugInformation_DoNotShip,245875,1,0,0,3,0,0,policy_denied,自动审批已拒绝；不重试、不经父目录或其他工具绕过,0,artifacts/m5-ui/player-mono,False
artifacts/m5-world,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-world,239844077,559,21329540,33,37,0,0,contains_denied,含已拒绝子项，不能整体删除；非受限子项另按条件列账,0,artifacts,False
artifacts/m5-world/player-editor-comparison,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-world\player-editor-comparison,865288,13,865288,13,0,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/m5-world,False
artifacts/m5-world/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-world\player-mono,198999138,408,89541552,7,25,0,0,retain_acceptance,保留当前验收 Player 或协议 7 性能对照；内含拒绝清理的调试目录,0,artifacts/m5-world,False
artifacts/m5-world/player-mono/DNights_BurstDebugInformation_DoNotShip,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-world\player-mono\DNights_BurstDebugInformation_DoNotShip,245875,1,0,0,3,0,0,policy_denied,自动审批已拒绝；不重试、不经父目录或其他工具绕过,0,artifacts/m5-world/player-mono,False
artifacts/m5-world/player-parity-20260914-052236-126,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-world\player-parity-20260914-052236-126,2205142,23,2192552,21,2,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/m5-world,False
artifacts/m5-world/player-parity-20260914-052236-126/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\m5-world\player-parity-20260914-052236-126\saves,12590,2,0,0,1,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/m5-world/player-parity-20260914-052236-126,False
artifacts/migration,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration,3413539515,4203,49462791,40,505,0,0,contains_denied,含已拒绝子项，不能整体删除；非受限子项另按条件列账,0,artifacts,False
artifacts/migration/active-load-20260912-162032-768/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\active-load-20260912-162032-768\saves,12598,2,12598,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/active-load-20260912-171905-714/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\active-load-20260912-171905-714\saves,12596,2,12596,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/active-load-20260913-145817-184/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\active-load-20260913-145817-184\saves,17774,2,0,0,1,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/active-load-20260913-183933-775/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\active-load-20260913-183933-775\saves,17774,2,0,0,1,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/active-load-20260913-204411-171/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\active-load-20260913-204411-171\saves,17772,2,0,0,1,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/active-load-20260913-220308-481/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\active-load-20260913-220308-481\saves,17772,2,0,0,1,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/delivery-driver-20260912-035659-436/nonzero-exit/artifacts/migration/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\delivery-driver-20260912-035659-436\nonzero-exit\artifacts\migration\player-mono,22,1,0,0,2,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/migration,False
artifacts/migration/delivery-driver-20260912-040012-121/artifact-change/artifacts/migration/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\delivery-driver-20260912-040012-121\artifact-change\artifacts\migration\player-mono,17,1,0,0,2,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/migration,False
artifacts/migration/delivery-driver-20260912-040012-121/nonzero-exit/artifacts/migration/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\delivery-driver-20260912-040012-121\nonzero-exit\artifacts\migration\player-mono,22,1,0,0,2,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/migration,False
artifacts/migration/delivery-driver-20260912-040012-121/resume/artifacts/migration/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\delivery-driver-20260912-040012-121\resume\artifacts\migration\player-mono,22,1,0,0,2,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/migration,False
artifacts/migration/delivery-driver-20260913-174100-973/artifact-change/artifacts/migration/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\delivery-driver-20260913-174100-973\artifact-change\artifacts\migration\player-mono,17,1,0,0,2,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/migration,False
artifacts/migration/delivery-driver-20260913-174100-973/nonzero-exit/artifacts/migration/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\delivery-driver-20260913-174100-973\nonzero-exit\artifacts\migration\player-mono,22,1,0,0,2,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/migration,False
artifacts/migration/delivery-driver-20260913-174100-973/resume/artifacts/migration/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\delivery-driver-20260913-174100-973\resume\artifacts\migration\player-mono,22,1,0,0,2,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/migration,False
artifacts/migration/player-il2cpp,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\player-il2cpp,1445907495,833,95591264,8,20,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/migration,False
artifacts/migration/player-il2cpp/DarkNights_BackUpThisFolder_ButDontShipItWithYourGame,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\player-il2cpp\DarkNights_BackUpThisFolder_ButDontShipItWithYourGame,1319627889,793,546983936,1,3,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration/player-il2cpp,False
artifacts/migration/player-il2cpp/DNights_BurstDebugInformation_DoNotShip,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\player-il2cpp\DNights_BurstDebugInformation_DoNotShip,211062,1,0,0,3,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration/player-il2cpp,False
artifacts/migration/player-mono,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\player-mono,200717836,414,89541552,7,25,0,0,contains_denied,含已拒绝子项，不能整体删除；非受限子项另按条件列账,0,artifacts/migration,False
artifacts/migration/player-mono-before-m5-20260912-041810,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\player-mono-before-m5-20260912-041810,198926567,412,89541552,7,25,0,0,archive_then_clean,历史构建；确认无后续对照需求并保留输入、文件清单和报告后可清理,0,artifacts/migration,False
artifacts/migration/player-mono-before-m5-20260912-041810/DNights_BurstDebugInformation_DoNotShip,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\player-mono-before-m5-20260912-041810\DNights_BurstDebugInformation_DoNotShip,245248,1,0,0,3,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration/player-mono-before-m5-20260912-041810,False
artifacts/migration/player-mono/DNights_BurstDebugInformation_DoNotShip,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\player-mono\DNights_BurstDebugInformation_DoNotShip,245248,1,0,0,3,0,0,policy_denied,自动审批已拒绝；不重试、不经父目录或其他工具绕过,0,artifacts/migration/player-mono,False
artifacts/migration/recovery-20260912-023114-388/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-023114-388\saves,3887,1,3887,1,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-023302-336/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-023302-336\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-023506-431/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-023506-431\saves,3880,2,3880,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-023624-833/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-023624-833\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-025350-672/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-025350-672\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-025412-158/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-025412-158\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-025433-313/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-025433-313\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-025454-865/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-025454-865\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-025518-086/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-025518-086\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-025541-526/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-025541-526\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-030253-690/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-030253-690\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-030314-646/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-030314-646\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-030335-110/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-030335-110\saves,3880,2,3880,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-030356-329/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-030356-329\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-030419-559/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-030419-559\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-030442-984/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-030442-984\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-030508-928/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-030508-928\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-030535-073/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-030535-073\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-030600-984/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-030600-984\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-162111-346/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-162111-346\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-162131-438/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-162131-438\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-162152-114/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-162152-114\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-162213-890/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-162213-890\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
artifacts/migration/recovery-20260912-162236-571/saves,D:\Developer\MiniGames\Dark Nights\unity-projects\artifacts\migration\recovery-20260912-162236-571\saves,3889,2,3889,2,0,0,0,archive_then_clean,含诊断、截图、日志、测试存档或临时源码；先归档必要证据和唯一源文件,0,artifacts/migration,False
